type,name,value
YouTube,文学YouTuberベル,UCL4QAujePZpVwwukBWXmx8Q
YouTube,PIVOT 公式,UC8yHb-3xL522u_d4HqB7Gcg
RSS,ブクログ通信,https://hon.booklog.jp/feed
RSS,Lifehacker,https://www.lifehacker.jp/feed/index.xml
YouTube,積読チャンネル,@tsundoku-ch
RSS(ブログ/ニュース),基本読書,https://huyukiitoichi.hatenadiary.jp/
RSS(ブログ/ニュース),基本読書,https://huyukiitoichi.hatenadiary.jp/
YouTube,基本読書,UCuG0Ay4D67uecldB_G9Ymeg
RSS(ブログ/ニュース),基本読書,https://huyukiitoichi.hatenadiary.jp/
RSS(ブログ/ニュース),版元ドットコム,https://www.hanmoto.com/
Website,版元ドットコム,https://www.hanmoto.com/
Website,基本読書,https://huyukiitoichi.hatenadiary.jp/
